# [普攻光波]-[光波强化]-[空]-[空]
# [空]-[空]-[空]-[空]
# [圣光标记]-[空]-[空]-[空]
# [传承技闪光]-[空]-[空]-[空]
# [空]-[空]-[空]-[空]
召唤冰刺,多重冰刺,光波传递,技能感电,冰刺强化
召唤光阵,技能风暴,标记共鸣,闪光光枪,光波快充
标记闪光,标记共鸣,闪光光枪,光波传递,技能火弹
大范围闪光,召唤冰刺,技能撕裂,随机标记,冰刺标记
标记强化,放置地雷,地雷强化,光波传递,技能燃烧
大范围闪光,环绕电球,稳定标记,扩张电球,技能风暴
技能闪电,闪电过载,闪光光枪,召唤史莱姆,随机标记
标记共鸣,标记强化,环绕电球,致盲延长,密集电球
致盲延长,技能闪电,受击闪光,标记闪光,闪电弹射
技能毒液,长效毒液,大范围闪光,召唤史莱姆,毒素累积
技能火弹,标记强化,火弹强化,增强光波,召唤冰刺
技能感电,召唤光阵,稳定标记,大型光阵,标记闪光
标记共鸣,受击闪光,技能毒环,标记强化,至圣标记
召唤触手,技能燃烧,闪光光枪,触手集群,聚火成炎
受击闪光,技能撕裂,召唤冰刺,致命撕裂,闪光光枪
环绕电球,技能毒环,毒素污染,至圣标记,中毒毒弹
技能影刺,召唤触手,受击影刺,致盲延长,影子转化
闪光强化,技能撕裂,撕裂冲击,召唤光阵,光阵庇护
召唤光阵,增强光波,受击闪光,光阵增幅,光波快充
召唤史莱姆,技能寒冷,光波传递,标记闪光,寒气爆发
闪光强化,召唤光阵,光波传递,技能闪电,闪光光枪
技能火弹,火弹闪光,放置地雷,地雷强化,闪光强化
标记强化,技能毒液,环绕电球,毒液扩大,光波传递
技能撕裂,致命撕裂,召唤刃环,稳定标记,受击闪光
技能火弹,致盲延长,召唤触手,暴躁触手,光波传递
至圣标记,随机标记,技能毒液,标记闪光,毒素累积
环绕电球,电球发射,标记共鸣,技能撕裂,撕裂冲击
致盲延长,技能影刺,远程影刺,随机标记,召唤史莱姆
技能燃烧,召唤冰刺,燃烧引燃,精准冰刺,标记闪光
技能撕裂,致盲延长,光波传递,致命撕裂,环绕电球
技能光枪,光枪光波,多重光枪,圣光光枪,至圣标记
召唤冰刺,致盲延长,技能撕裂,多重冰刺,闪光强化
技能闪电,闪电过载,环绕电球,随机标记,闪光光枪
技能毒环,光波传递,标记共鸣,标记强化,召唤刃环
技能影刺,召唤光阵,闪光光枪,稳定标记,影刺强化
技能感电,标记闪光,召唤刃环,双生刃环,召唤回旋刃
技能寒冷,召唤冰刺,光波传递,多重冰刺,精准冰刺
增强光波,稳定标记,召唤史莱姆,技能毒液,至圣标记
大范围闪光,召唤史莱姆,技能闪电,闪电延伸,增强光波
召唤刃环,稳定标记,刃环拉扯,受击闪光,技能撕裂
技能闪电,标记闪光,闪电过载,致盲延长,增强光波
技能燃烧,随机标记,闪光强化,标记闪光,召唤光阵
大范围闪光,标记强化,技能毒液,标记闪光,放置地雷
技能火弹,火弹弹射,环绕电球,多重火弹,稳定标记
标记闪光,放置地雷,地雷毒液,致盲延长,额外地雷
召唤刃环,闪光强化,技能燃烧,标记共鸣,标记闪光
