# [普攻光波]-[光波强化]-[增强光波]-[光波传递]
# [技能寒冷]-[空]-[空]-[空]
# [圣光标记]-[标记强化]-[标记共鸣]-[标记闪光]
# [传承技闪光]-[闪光强化]-[致盲延长]-[闪光光枪]
# [召唤史莱姆]-[空]-[空]-[空]
寒气爆发,结队史莱姆,自爆史莱姆,冰霜爆破,大型史莱姆
附身史莱姆,自爆史莱姆,聚寒成冰,强力破冰,大型史莱姆
寒气爆发,剧毒史莱姆,长效史莱姆,极速史莱姆,冰霜爆破
附身史莱姆,长效史莱姆,极速史莱姆,聚寒成冰,冰冻冰锥
长效史莱姆,分裂史莱姆,聚寒成冰,强力破冰,冰冻冰锥
聚寒成冰,附身史莱姆,强力破冰,冰冻冰锥,自爆史莱姆
剧毒史莱姆,自爆史莱姆,大型史莱姆,寒气爆发,冰霜爆破
寒气爆发,剧毒史莱姆,冰霜爆破,自爆史莱姆,大型史莱姆
剧毒史莱姆,聚寒成冰,长效史莱姆,极速史莱姆,冰冻冰锥
附身史莱姆,自爆史莱姆,聚寒成冰,冰冻冰锥,大型史莱姆
聚寒成冰,剧毒史莱姆,冰冻冰锥,自爆史莱姆,大型史莱姆
分裂史莱姆,长效史莱姆,聚寒成冰,强力破冰,极速史莱姆
分裂史莱姆,聚寒成冰,长效史莱姆,极速史莱姆,强力破冰
聚寒成冰,剧毒史莱姆,强力破冰,冰冻冰锥,长效史莱姆
分裂史莱姆,聚寒成冰,冰冻冰锥,长效史莱姆,极速史莱姆
自爆史莱姆,大型史莱姆,附身史莱姆,聚寒成冰,强力破冰
寒气爆发,冰霜脉冲,长效史莱姆,附身史莱姆,冰霜爆破
